,doc_id,author,authoryearofbirth,authoryearofdeath,no_words,len,Gut_id
0,"All Adrift; Or, The Goldwing Club","Optic, Oliver",1822.0,1897.0,65857,65857,Gut_11468
0,"The Guardian Angel: Ship's Company, Part 7.","Jacobs, W. W. (William Wymark)",1863.0,1943.0,4227,4227,Gut_362
0,Exiled for the Faith: A Tale of the Huguenot Persecution,"Kingston, William Henry Giles",1814.0,1880.0,45534,45534,Gut_8308
0,At the Sign of the Barber's Pole: Studies In Hirsute History,"Andrews, William",1848.0,1908.0,24633,24633,Gut_7172
0,Love at Second Sight,"Leverson, Ada",1862.0,1933.0,57828,57828,Gut_41916
0,The British Barbarians,"Allen, Grant",1848.0,1899.0,36521,36521,Gut_25837
0,"The Bravest of the Brave — or, with Peterborough in Spain","Henty, G. A. (George Alfred)",1832.0,1902.0,90956,90956,Gut_40033
0,"The Witch, and Other Stories","Chekhov, Anton Pavlovich",1860.0,1904.0,73796,73796,Gut_6857
0,The Wings of the Morning,"Tracy, Louis",1863.0,1928.0,89092,89092,Gut_3519
0,"Aurora Floyd, Vol. 1: Fifth Edition","Braddon, M. E. (Mary Elizabeth)",1835.0,1915.0,59810,59810,Gut_29269
0,The Trail of the Hawk: A Comedy of the Seriousness of Life,"Lewis, Sinclair",1885.0,1951.0,123560,123560,Gut_12226
0,"Saint Abe and His Seven Wives: A Tale of Salt Lake City, with a Bibliographical Note","Buchanan, Robert Williams",1841.0,1901.0,22505,22505,Gut_32621
0,"Berlin and Sans-Souci; Or, Frederick the Great and His Friends","Mühlbach, L. (Luise)",1814.0,1873.0,179598,179598,Gut_24744
0,Chimneysmoke,"Morley, Christopher",1890.0,1957.0,17451,17451,Gut_21236
0,"Black, White and Gray: A Story of Three Homes","Walton, Amy",1848.0,1899.0,47102,47102,Gut_9675
0,"But, I Don't Think","Garrett, Randall",1927.0,1987.0,11529,11529,Gut_10327
